Date,total
2013-06-12,3599.0
2013-06-13,17591.0
2013-06-15,3531.0
2013-06-18,2166.0
2013-06-20,2449.0
2013-06-24,5739.0
2013-07-02,18116.0
2013-07-10,11413.0
2013-07-15,2668.0
2013-07-18,9392.0
2013-07-24,3366.0
2013-07-25,12788.0
2013-07-29,6090.0
2013-07-30,5761.0
2013-08-05,5976.0
2013-08-06,15012.0
2013-08-07,13042.0
2013-08-10,39842.0
2013-08-12,5632.0
2013-08-15,4365.0
2013-08-20,3902.0
2014-06-11,6032.0
2014-06-15,888.0
2014-06-16,888.0
2014-06-17,259.0
2014-06-18,1623.0
2014-06-19,13646.0
2014-06-22,1685.0
2014-06-23,3573.0
2014-06-25,1333.0
2014-06-26,12512.0
2014-06-29,2259.0
2014-06-30,5509.0
2014-07-03,2035.0
2014-07-06,1734.0
2014-07-07,1291.0
2014-07-11,2584.0
2014-07-13,1559.0
2014-07-14,1415.0
2014-07-15,3121.0
2014-07-17,4353.0
2014-07-21,529.0
2014-07-22,9733.0
2014-07-23,2259.0
2014-07-24,3286.0
2014-07-29,4722.0
2014-08-01,12599.0
2014-08-02,34035.0
2014-08-07,1296.0
2014-08-11,8084.0
2014-08-13,811.0
2014-08-14,6815.0
2014-08-19,2675.0
2014-08-26,5831.0
