DATE,PRCP,TMAX,TMIN,SM 4in,Relative Humidity (pct) Mean of Hourly Values,Wind Speed Average (mph) Mean of Hourly Values
5/15/13,0,31.5,15.3,14.1,63,6.4
5/16/13,0,31.2,16.3,13.9,65,4.6
5/17/13,0,32.6,16.6,14,78,3.7
5/18/13,17.4,33.7,18.8,17.4,82,3.8
5/19/13,22.7,32.9,18.7,21,73,4.6
5/20/13,61.9,31.4,20.1,20,86,4.8
5/21/13,11.9,33.2,19.8,22.6,81,5.4
5/22/13,0,31.4,21,23.5,76,4.2
5/23/13,0,32.2,21,20.4,72,4.3
5/24/13,0,34.5,21,18,78,3.7
5/25/13,0,33,20.7,16,70,6.5
5/26/13,0,31.6,18.1,14.8,69,6.3
5/27/13,1.6,32.6,19.2,14.3,72,8.8
5/28/13,25.4,31.6,22.1,21.1,80,6.6
5/29/13,31.4,26.5,21.2,26.8,88,6.8
5/30/13,5.7,31.1,21.1,26.5,87,6.3
5/31/13,16.8,31.5,22.1,23.9,81,5
6/1/13,29.7,31.2,22.8,22.5,87,3.3
6/2/13,0,31.6,22.7,23.4,82,4
6/3/13,0,28,23.6,24.2,83,3.6
6/4/13,9.9,27.9,21.9,24.2,87,3.6
6/5/13,14.6,26.9,22.8,22.7,81,5.9
6/6/13,36.6,30.2,22.8,24.6,83,9.6
6/7/13,0.5,29.6,24.7,24,81,6.9
6/8/13,0.2,32.4,25.2,20.5,78,4.7
6/9/13,0,33.3,24.9,20.1,75,6.4
6/10/13,0,34.2,24.6,23.1,76,5.9
6/11/13,0,33.9,24.5,21.4,81,3.5
6/12/13,6.1,32,22.8,23.9,89,3
6/13/13,36.9,31.3,22.1,24.6,80,3.6
6/14/13,0,31.9,22.5,22.4,74,4.6
6/15/13,0,32.8,23.5,21,77,3.5
6/16/13,31.1,34.8,24.4,20,73,4.3
6/17/13,0.3,34.7,23.8,19.4,75,4.8
6/18/13,5,34.3,25.2,18.4,76,5.4
6/19/13,27.7,33.9,23.4,18.2,78,4.3
6/20/13,4.4,33.4,23.3,17.7,76,4.4
6/21/13,5.9,34.3,22.7,17.5,68,4.6
6/22/13,0,34.5,23.4,16.9,73,4.6
6/23/13,7.5,32.4,23.7,16.8,76,4.9
6/24/13,0.9,33.4,23.5,16.6,75,5.3
6/25/13,0,34.3,24.1,17,76,5.4
6/26/13,25.2,32.2,23.9,19.7,77,4.8
6/27/13,0,32.7,23,19.6,83,2.8
6/28/13,0,32.3,23.9,22.8,81,3.1
6/29/13,0,31.9,25.2,25.1,82,4.2
6/30/13,26.5,31.2,25,23.2,79,7.4
7/1/13,61,30.1,23.4,21.9,80,5.7
7/2/13,56.8,31.7,22.8,21.3,83,4.5
7/3/13,22.3,31.6,23.2,21.9,81,5.6
7/4/13,4.4,32.5,22.4,24.5,75,7.5
7/5/13,23.1,30.8,22.9,26.8,81,6
7/6/13,0,32.6,24,25.6,76,6.2
7/7/13,2.1,32.7,24.9,22.4,75,6.6
7/8/13,0,33.7,24.9,21,72,5.5
7/9/13,30.5,30.9,23.5,22.8,84,3.3
7/10/13,0,30.9,23.8,24.7,78,3.4
7/11/13,0,32.6,24.1,22.4,80,3.6
7/12/13,0,31.5,24.3,23.2,82,3.3
7/13/13,48.1,30.6,23.2,27,83,6.4
7/14/13,7.8,28.9,23.4,25.9,81,4.9
7/15/13,0.2,32.5,23.2,25.7,80,4.2
7/16/13,1,30,23.7,26.3,84,5.4
7/17/13,3.1,29.1,22.5,28.3,89,3.9
7/18/13,28.2,29.5,21.7,26.6,88,4.1
7/19/13,0,33.1,22.5,25.1,81,5.2
7/20/13,12.5,32.2,24.6,23.9,84,3.8
7/21/13,1.6,32.6,25.8,22.9,80,3.7
7/22/13,0,32.8,24.9,21,76,3.8
7/23/13,0,34.3,25.6,19.4,79,3.2
7/24/13,0,32,25.5,18,73,4.5
7/25/13,0,32.5,25.8,16.3,74,5.3
7/26/13,0,32.4,25.5,15.4,74,5.3
7/27/13,1.6,33.1,24.2,20.5,85,2.4
7/28/13,0,33.3,25.6,22.7,76,3.1
7/29/13,0,35.3,24.8,19.6,76,4.1
7/30/13,4.6,33.7,24.7,17.6,79,4.2
7/31/13,0,34.2,24.5,16.2,73,6
8/1/13,0.9,34.9,24.4,15.2,72,5.4
8/2/13,0,32.8,23.7,14.5,78,3
